Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
AsiaWorld-Expo,Islands,Yuen Long,Yuen Long,50,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long
AsiaWorld-Expo,Islands,Long Ping,Yuen Long,52,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping
AsiaWorld-Expo,Islands,Tin Shui Wai,Yuen Long,55,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai
AsiaWorld-Expo,Islands,Siu Hong,Tuen Mun,60,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai -> Siu Hong
AsiaWorld-Expo,Islands,Tuen Mun,Tuen Mun,62,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long -> Long Ping -> Tin Shui Wai -> Siu Hong -> Tuen Mun
AsiaWorld-Expo,Islands,Tung Chung,Islands,38,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Sunny Bay -> Tung Chung
AsiaWorld-Expo,Islands,Lai King,Kwai Tsing,28,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King
AsiaWorld-Expo,Islands,Olympic,Yau Tsim Mong,33,100.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Olympic
AsiaWorld-Expo,Islands,Po Lam,Sai Kung,68,110.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> Hang Hau -> Po Lam
AsiaWorld-Expo,Islands,Hang Hau,Sai Kung,67,110.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> Hang Hau
AsiaWorld-Expo,Islands,Tseung Kwan O,Sai Kung,64,110.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O
AsiaWorld-Expo,Islands,LOHAS Park,Sai Kung,70,110.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Kowloon -> Hong Kong -> Central -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Yau Tong -> Tiu Keng Leng -> Tseung Kwan O -> LOHAS Park
AsiaWorld-Expo,Islands,Tsuen Wan,Tsuen Wan,39,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau -> Tsuen Wan
AsiaWorld-Expo,Islands,Tai Wo Hau,Tsuen Wan,37,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Kwai Fong -> Kwai Hing -> Tai Wo Hau
AsiaWorld-Expo,Islands,Kwai Hing,Kwai Tsing,35,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Kwai Fong -> Kwai Hing
AsiaWorld-Expo,Islands,Kwai Fong,Kwai Tsing,33,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Kwai Fong
AsiaWorld-Expo,Islands,Lai Chi Kok,Sham Shui Po,34,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok
